"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Kampala","49759",null,null,"0","ADM2","Kampala","49759","UGA0512449759","2022","1928090","273788","582282","1004530","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Kapchorwa","49760",null,null,"0","ADM2","Kapchorwa","49760","UGA0512549760","2022","141864","20145","42843","73911","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Kayunga","49761",null,null,"0","ADM2","Kayunga","49761","UGA0512449761","2022","470778","66850","142175","245275","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Kiboga","49762",null,null,"0","ADM2","Kiboga","49762","UGA0512449762","2022","188484","26765","56922","98200","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Kibuku","49763",null,null,"0","ADM2","Kibuku","49763","UGA0512549763","2022","257672","36589","77817","134247","Non-endemic","0","0","0","0.0","3","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","Kiruhura","49764",null,null,"0","ADM2","Kiruhura","49764","UGA0512649764","2022","192890","27390","58253","100496","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","Kiryandongo","49765",null,null,"0","ADM2","Kiryandongo","49765","UGA0512649765","2022","341044","48428","102995","177684","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","Kitgum","49766",null,null,"0","ADM2","Kitgum","49766","UGA0512349766","2022","259428","36839","78347","135162","Endemic (under MDA)","95226","95226","88236","92.659999999999997","12","1","1","8","7","92.659999999999997","1","1","8","6","IVM","1","2"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","Kole","49767",null,null,"0","ADM2","Kole","49767","UGA0512349767","2022","307583","43677","92890","160251","Non-endemic","0","0","0","0.0","3","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Kween","49768",null,null,"0","ADM2","Kween","49768","UGA0512549768","2022","121597","17267","36722","63352","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Kyankwanzi","49769",null,null,"0","ADM2","Kyankwanzi","49769","UGA0512449769","2022","273014","38768","82450","142240","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
